LBS_AI_APP_TYPE	SITE_TYPE	LBS_AI_APP1	LBS_AI_APP2	LBS_AI_APP3	LOG_LBS_AI_APP1	LOG_LBS_AI_APP2	LOG_LBS_AI_APP3
HIGH	STRUCTURAL	10000	25000	75000	4	4.4	4.88
MEDIUM	STRUCTURAL	5000	7500	25000	3.7	3.88	4.4
NORMAL	STRUCTURAL	1000	2500	7500	3	3.4	3.88
ADJUVANT	STRUCTURAL	5000	7500	25000	3.7	3.88	4.4
HIGH	RIGHTS_OF_WAY	10000	20000	50000	4	4.3	4.7
MEDIUM	RIGHTS_OF_WAY	5000	7000	10000	3.7	3.85	4
NORMAL	RIGHTS_OF_WAY	3000	5000	8000	3.48	3.7	3.9
ADJUVANT	RIGHTS_OF_WAY	5000	7000	10000	3.7	3.85	4
HIGH	LANDSCAPE	10000	20000	50000	4	4.3	4.7
MEDIUM	LANDSCAPE	5000	7000	10000	3.7	3.85	4
NORMAL	LANDSCAPE	3000	5000	8000	3.48	3.7	3.9
ADJUVANT	LANDSCAPE	5000	7000	10000	3.7	3.85	4
HIGH	OTHER	20000	30000	50000	4.3	4.48	4.7
MEDIUM	OTHER	7000	8000	10000	3.85	3.9	4
NORMAL	OTHER	3000	5000	8000	3.48	3.7	3.9
ADJUVANT	OTHER	7000	8000	10000	3.85	3.9	4

