AI_RATE_TYPE	SITE_TYPE	FIXED2	MEAN_LIMIT
NORMAL	STRUCTURAL	2500	MEAN7SD
MEDIUM	STRUCTURAL	7500	MEAN5SD
HIGH	STRUCTURAL	25000	MEAN10SD
ADJUVANT	STRUCTURAL	7500	MEAN8SD
NORMAL	LANDSCAPE	5000	MEAN5SD
MEDIUM	LANDSCAPE	7000	MEAN5SD
HIGH	LANDSCAPE	20000	MEAN5SD
ADJUVANT	LANDSCAPE	7000	MEAN5SD
NORMAL	RIGHTS_OF_WAY	5000	MEAN7SD
MEDIUM	RIGHTS_OF_WAY	7000	MEAN5SD
HIGH	RIGHTS_OF_WAY	20000	MEAN5SD
ADJUVANT	RIGHTS_OF_WAY	7000	MEAN5SD
NORMAL	OTHER	5000	MEAN8SD
MEDIUM	OTHER	8000	MEAN5SD
HIGH	OTHER	30000	MEAN12SD
ADJUVANT	OTHER	8000	MEAN10SD
