SITE_CODE	SITE_NAME	SITE_GENERAL	SITE_GENERAL1	SITE_GENERAL_AG
-1	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
10	STRUCTURAL PEST CONTROL	STRUCTURAL PEST CONTROL	STRUCTURAL PEST CONTROL	MISCELLANEOUS
30	LANDSCAPE MAINTENANCE	LANDSCAPE MAINTENANCE	LANDSCAPE MAINTENANCE	MISCELLANEOUS
40	RIGHTS OF WAY	RIGHTS OF WAY	RIGHTS OF WAY	RIGHTS OF WAY
50	PUBLIC HEALTH	PUBLIC HEALTH	PUBLIC HEALTH	MISCELLANEOUS
60	COUNTY AG COMM	COUNTY AG COMM	COUNTY AG COMM	MISCELLANEOUS
80	VERTEBRATE CONTROL	VERTEBRATE CONTROL	VERTEBRATE CONTROL	MISCELLANEOUS
90	COMMODITY FUMIGATION	COMMODITY FUMIGATION	COMMODITY FUMIGATION	MISCELLANEOUS
91	"FUMIGATION, OTHER"	FUMIGATION	OTHER FUMIGATION	MISCELLANEOUS
99	RESEARCH COMMODITY	RESEARCH COMMODITY	RESEARCH COMMODITY	MISCELLANEOUS
100	REGULATORY PEST CONTROL	REGULATORY PEST CONTROL	REGULATORY PEST CONTROL	MISCELLANEOUS
151	N-GRNHS FLOWER	NURSERY	NURSERY GRNHS	NURSERY GRNHS
152	N-OUTDR FLOWER	NURSERY	NURSERY OUTDR	NURSERY OUTDR
153	N-GRNHS PLANTS IN CONTAINERS	NURSERY	NURSERY GRNHS	NURSERY GRNHS
154	N-OUTDR PLANTS IN CONTAINERS	NURSERY	NURSERY OUTDR	NURSERY OUTDR
155	N-GRNHS TRANSPLANTS	NURSERY	NURSERY GRNHS	NURSERY GRNHS
156	N-OUTDR TRANSPLANTS	NURSERY	NURSERY OUTDR	NURSERY OUTDR
1000	SMALL FRUITS/BERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1002	BLACKBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1003	BOYSENBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1004	DEWBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1005	LOGANBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1006	RASPBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1009	BLUEBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1010	CRANBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1011	CURRANT	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1013	GOOSEBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1016	STRAWBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
1023	BUSHBERRY	SMALL FRUITS	SMALL FRUITS	SMALL FRUITS
2000	CITRUS	CITRUS	CITRUS	CITRUS
2002	GRAPEFRUIT	CITRUS	CITRUS	CITRUS
2003	KUMQUAT	CITRUS	CITRUS	CITRUS
2004	LEMON	CITRUS	CITRUS	CITRUS
2005	LIME	CITRUS	CITRUS	CITRUS
2006	ORANGE	CITRUS	CITRUS	ORANGE-TANGERINE
2007	TANGELO	CITRUS	CITRUS	CITRUS
2008	TANGERINE	CITRUS	CITRUS	ORANGE-TANGERINE
2012	POMELO	CITRUS	CITRUS	CITRUS
3000	NUTS	NUTS	NUTS	NUTS
3001	ALMOND	NUTS	NUTS	NUTS
3003	CASHEW	NUTS	NUTS	NUTS
3004	CHESTNUT	NUTS	NUTS	NUTS
3007	MACADAMIA NUT	NUTS	NUTS	NUTS
3008	PECAN	NUTS	NUTS	NUTS
3009	WALNUT	NUTS	NUTS	NUTS
3011	PISTACHIO	NUTS	NUTS	PISTACHIO
4000	POME FRUIT	POME FRUITS	POME FRUITS	POME FRUITS
4001	APPLE	POME FRUITS	POME FRUITS	POME FRUITS
4003	PEAR	POME FRUITS	POME FRUITS	POME FRUITS
4004	QUINCE	POME FRUITS	POME FRUITS	POME FRUITS
4501	ASIAN PEAR	POME FRUITS	POME FRUITS	POME FRUITS
5000	STONE FRUIT	STONE FRUITS	STONE FRUITS	STONE FRUITS
5001	APRICOT	STONE FRUITS	STONE FRUITS	STONE FRUITS
5002	CHERRY	STONE FRUITS	STONE FRUITS	STONE FRUITS
5003	NECTARINE	STONE FRUITS	STONE FRUITS	STONE FRUITS
5004	PEACH	STONE FRUITS	STONE FRUITS	STONE FRUITS
5005	PLUM	STONE FRUITS	STONE FRUITS	STONE FRUITS
5006	PRUNE	STONE FRUITS	STONE FRUITS	PRUNE
5505	PLUOT	STONE FRUITS	STONE FRUITS	STONE FRUITS
6000	TROPICAL/SUBTROPICAL FRUIT	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6002	BANANA	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6004	DATE	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6005	FIG	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6006	GUAVA	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6007	MANGO	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6008	LOQUAT	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6010	PAPAYA	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6012	PERSIMMON	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6013	PINEAPPLE	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6015	POMEGRANATE	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6017	LITCHI NUT	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6018	KIWI	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6028	CACTUS PEAR	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6030	CHERIMOYA	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
6504	JUJUBE	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS	MISCELLANEOUS FRUITS
7000	BEVERAGE CROP	SPICE CROPS	BEVERAGE CROP	MISCELLANEOUS
8000	"HERB, SPICE"	SPICE CROPS	SPICE CROPS	SPICE CROPS
8004	ANISE	SPICE CROPS	SPICE CROPS	SPICE CROPS
8006	"BASIL, SWEET"	SPICE CROPS	SPICE CROPS	SPICE CROPS
8015	DILL	SPICE CROPS	SPICE CROPS	SPICE CROPS
8019	GINGER	SPICE CROPS	SPICE CROPS	SPICE CROPS
8020	HOPS	SPICE CROPS	SPICE CROPS	SPICE CROPS
8026	OREGANO	SPICE CROPS	SPICE CROPS	SPICE CROPS
